"codigo_ibge","safra_soja","latitude","longitude","area_total","n_sinistros","n_apolices","sum_indenizacao_total","sum_total_premios","tipo_solo","awc_ana","area_total_irrigada_fertigada_percentual","X","PC_Prec_1","PC_Prec_2","PC_Prec_3","PC_Prec_4","PC_Temp_1","PC_Temp_2"
3500105,5,-21.682,-51.0737,92.73,0,1,0,19028.33,"PVAe",0.0639494218453695,0.252408733222641,246,0.767333583684748,1.3427969554515,0.292788446906686,0.0869199107835542,-2.7889237215339,-0.496926194633512
5200159,2,-16.4127,-50.1657,0,0,0,0,NA,"PVe",0.118438183339938,0.00017852523781256,251,0.021900506216754,0.0118914877769453,0.00465740495780778,0.00694875201912257,-1.36405897803032,-0.236378061493663
5200159,3,-16.4127,-50.1657,0,0,0,0,NA,"PVe",0.118438183339938,0.00017852523781256,252,3.2478761721977,-1.16444743637743,0.665604219806629,0.00566271118636319,-3.76894230731481,0.713818789598358
2100105,4,-4.13631,-43.3275,0,0,0,0,NA,"FFc",0.0769819585038637,0,309,0.0180527796843089,-0.00198800328356049,-0.021341622420526,-0.00428471304602457,-2.16939460991204,-0.761096488580862
4200200,1,-27.4087,-49.822,0,0,0,0,NA,"CXbd",0.132217494979011,0.0103047664475868,346,-0.0290138059388101,-0.0188328977011288,0.0245463630192605,0.0110359912639533,1.20798662628798,0.385588841008513
4200200,3,-27.4087,-49.822,12,0,1,0,2225.66,"CXbd",0.132217494979011,0.0103047664475868,348,-0.0188547754848317,-0.00107088494427486,-0.00338219018686502,-0.00911597780780373,1.37422733089408,0.80034357746517
4200200,6,-27.4087,-49.822,232.13,5,12,275.922533679902,82342.08,"CXbd",0.132217494979011,0.0103047664475868,351,-0.0258305267854475,0.00454150302982319,0.0125407863404652,-0.0079508804626303,1.29702903487941,0.646566151124928
4200309,1,-27.2662,-49.708,0,0,0,0,NA,"CXbd",0.134264347,0.11630264151525,354,-2.04405174924915,-1.75332802536773,1.99470468612527,1.7220158197937,3.39734456551508,-0.0524677536670144
4200309,2,-27.2662,-49.708,5,0,1,0,515.2,"CXbd",0.134264347,0.11630264151525,355,-1.76586640290486,0.0331687601579587,-0.527468859676211,-0.00370617356563785,4.09914991595124,-0.653742304495708
5100201,1,-14.051,-52.1601,5872.8,0,30,0,417633.2,"CXbd",0.122600340635152,0.0010159286363416,378,2.37136622584558,-0.715820013670111,-0.558922763431261,-0.620582972535012,-3.25209064212136,0.778811799950083
5100201,4,-14.051,-52.1601,9584.55,0,42,0,972132.71,"CXbd",0.122600340635152,0.0010159286363416,381,0.0269281740024445,-0.00668753542822059,7.35532186703454e-05,0.00225114111929874,-0.988079825332649,-0.146916904629492
5100201,5,-14.051,-52.1601,28996.56,8,129,1590352.48830912,4182822.36,"CXbd",0.122600340635152,0.0010159286363416,382,2.6661648098474,-1.73555175770592,0.364747369589693,-0.0603440241913474,-3.36105578648567,0.732218703464403
5100201,6,-14.051,-52.1601,23285.95,0,90,0,4942248.19,"CXbd",0.122600340635152,0.0010159286363416,383,2.66078873231655,-1.71045108532206,0.387269983894629,-0.0396525356433782,-3.27627959204179,0.899264300601566
5000203,2,-20.4452,-52.879,390,0,2,0,29728.48,"SXd",0.057778757514234,0.00224544297411515,411,0.00916889382287116,0.0042010352313942,0.000240739050705314,-0.00100431803544051,-1.00411019114665,-0.769815722688781
5000203,3,-20.4452,-52.879,0,0,0,0,NA,"SXd",0.057778757514234,0.00224544297411515,412,0.757330371306209,0.0741098211188842,0.246536649152114,-0.446778813633717,-2.82619444491592,0.0777506490425626
5000203,4,-20.4452,-52.879,230,1,1,352410.999270141,26056.9,"SXd",0.057778757514234,0.00224544297411515,413,0.683346872490126,0.360851149618443,0.254060136630767,-0.0490453459129364,-3.06951949455042,-0.983182691010655
5000203,5,-20.4452,-52.879,897.87,0,3,0,233586.78,"SXd",0.057778757514234,0.00224544297411515,414,0.831338686869347,0.276019594120745,0.289933237307554,-0.238241530309836,-3.25579328300267,-0.285701389729296
3100708,3,-20.0576,-48.1069,0,0,0,0,NA,"LVdf",0.097840272,0.0187904952375978,420,0.0239023869129637,0.00641458325122905,-0.000942044555030462,-0.00783358712524946,-0.722521093496048,-0.244649059933692
3100708,4,-20.0576,-48.1069,1113,0,9,0,168725.07,"LVdf",0.097840272,0.0187904952375978,421,1.15830404029244,1.20993467507362,0.714414048503581,1.22866866422528,-2.35944775389161,-0.687465867555707
3100708,5,-20.0576,-48.1069,4385.59,0,31,0,700003.87,"LVdf",0.097840272,0.0187904952375978,422,2.30349859150317,0.247675199409695,-0.0940756181019916,0.215098893191037,-2.40492759864287,0.294689189810041
3100708,6,-20.0576,-48.1069,4564.82,0,35,0,1062171.18,"LVdf",0.097840272,0.0187904952375978,423,1.67367664620217,2.08640689527382,0.78651785157368,-0.0029416531965849,-2.19917546672793,0.164178030310455
4200408,1,-26.9985,-51.5528,1595.43,0,14,0,211480.87,"CXve",0.133362993758241,0,426,-0.0554793950485293,-0.0325375322660831,0.028561213202386,-0.00079713112502348,2.61845049534429,1.59396262475037
4200408,3,-26.9985,-51.5528,1003.53,1,5,137114.192008644,150707.68,"CXve",0.133362993758241,0,428,-0.0445349383057103,-0.0208471396286316,-0.0165488233677828,-0.0175559671432883,2.79516079733249,2.03101563545695
4200408,4,-26.9985,-51.5528,1459.79,0,13,0,174732.95,"CXve",0.133362993758241,0,429,-2.08358250601804,-0.337370125578009,0.28042258564384,1.12918013666845,7.00938297097692,1.59379832771416
4200408,5,-26.9985,-51.5528,4474.74,1,50,34820.5611615512,1062676.7,"CXve",0.133362993758241,0,430,-2.62335120992304,-0.188187277553914,-1.16686365127877,-0.779818716940298,6.8491099519276,2.05389796301983
5200175,1,-14.9778,-47.7823,4820.5,1,19,129938.477219436,396519.21,"LVd",0.123152175643417,0.048860572265236,458,2.4370462783866,0.0935789754064657,-1.81097477414171,-2.24237363186054,-1.17047141424198,1.78733623801039
5200175,2,-14.9778,-47.7823,5152.46,2,22,266042.0725557,495368.63,"LVd",0.123152175643417,0.048860572265236,459,1.96829606014194,0.989430538561268,0.831876939480633,1.14696987375153,-1.17556657941321,1.84387873439903
5200175,5,-14.9778,-47.7823,10123.6,0,53,0,1554598.31,"LVd",0.123152175643417,0.048860572265236,462,0.02945569971008,-0.00275216484790308,-0.0147100317259587,-0.00342377266903008,-0.171318164252288,0.695370013546073
5200175,6,-14.9778,-47.7823,7214.63,0,40,0,1263912.22,"LVd",0.123152175643417,0.048860572265236,463,2.70420453810322,-1.44875581452197,-1.29785280838762,1.93131804501764,-0.76579202294675,1.89360472333728
4300059,3,-28.1672,-52.031,25,0,1,0,4621.5,"LBd",0.126945936063544,0.00377354606985177,492,-0.0446627525672113,-0.0192842850196458,-0.014805796884175,-0.00975789045470055,1.32012928774063,0.709244793943048
4300059,4,-28.1672,-52.031,347.9,2,6,149100.223907248,49658.77,"LBd",0.126945936063544,0.00377354606985177,493,-2.70334485350777,-1.10389313550338,1.57469103015024,0.903458181946545,3.38631082912983,-0.44581400137391
4300059,5,-28.1672,-52.031,3805.26,5,94,36472.8870895046,1051606.27,"LBd",0.126945936063544,0.00377354606985177,494,-2.97216050922414,-1.30094813054081,-0.77598896799137,-0.743533295663854,3.24666369010408,0.162129866842684
3500303,1,-22.0572,-46.9735,53.82,0,1,0,8803.84,"LVd",0.108810440108533,0.0780712611467698,498,0.0173777869449529,0.00164197288975786,0.00572032176533377,-0.00109006075440416,0.679613199054532,0.625980685894108
3500303,2,-22.0572,-46.9735,69.1,0,1,0,10857.18,"LVd",0.108810440108533,0.0780712611467698,499,0.678162695716547,1.13920816716929,-0.357978493381941,-0.319222948509211,1.82924800713624,0.195493492713894
3500303,4,-22.0572,-46.9735,52.6,0,2,0,9265.16,"LVd",0.108810440108533,0.0780712611467698,501,0.0118947290361288,0.00834508844646912,0.00287997750714034,0.00909635172343764,0.615663149131121,0.368186749676297
3500303,5,-22.0572,-46.9735,367.42,0,11,0,110483.59,"LVd",0.108810440108533,0.0780712611467698,502,2.13871838477041,-0.100923435437253,-0.392764646620267,0.341592295535849,1.83696166057279,1.51973215811682
